id,author,bookName
37694,Ethan Allen,"Reason, The Only Oracle of Man"
37695,William Hogan,Auricular Confession and Popish Nunneries
37697,Felix Adler,Creed And Deed
37698,Grace Livingston Hill,Dawn of the Morning
37699,Robert G. Ingersoll,Hell
3770,Henry Edward Krehbiel,A Second Book Of Operas
37701,Moncure Daniel Conway,"The Life Of Thomas Paine, Vol. I. "
37702,Moncure Daniel Conway,"The Life Of Thomas Paine, Vol. II. "
37703,Robert G. Ingersoll,About The Holy Bible
37705,William Hogan,Popery! As it Was and as it Is
37708,Hartwell James,The Magic Bed
3771,Ben Jonson,Cynthia's Revels
37712,Sir Arthur Conan Doyle,The Crime of the Congo
37715,Catharine Shaw,Mother Meg
37717,Julia Ellen Rogers,Trees Worth Knowing
37718,Orson F. Whitney,Elias
3772,Charles Lyell,The Student's Elements of Geology
37723,Gregor Samarow,"For Sceptre and Crown, Vol. I "
37724,Gregor Samarow,"For Sceptre and Crown, Vol. II "
37725,Bj?tjerne Bj?on,The Fisher Girl
37726,Bj?tjerne Bj?on,In God's Way
37727,Bj?tjerne Bj?on,Ovind
3773,William Morris,Hopes and Fears for Art
37735,Neltje Blanchan,Bird Neighbors
3774,Lucy Fitch Perkins,The Eskimo Twins
37743,Eadweard Muybridge,The Attitudes of Animals in Motion
37744,Octavius Brooks Frothingham,Recollections and Impressions
37745,Richard Doyle,Manners & Cvftoms of ye Englyfhe
3775,John S. C. Abbott,Napoleon Bonaparte
37750,William Harrison Ainsworth,Guy Fawkes
37751,John Presland,The Deluge and Other Poems
37752,John Presland,Poems of London and Other Verses
37759,George John Romanes,"Darwin, and After Darwin, Volume II "
3776,Arthur Conan Doyle,The Valley of Fear
37761,Harold Bindloss,A Damaged Reputation
37767,Phil May,The Phil May Album
3777,Victor Appleton,Tom Swift and his Electric Rifle
37770,Louis Couperus,Ecstasy: A Study of Happiness
37774,Hannah More,Considerations on Religion and Public Education
37777,George John Romanes,"Darwin, and After Darwin "
37781,Mary Cholmondeley,Notwithstanding
37782,Gordon Casserly,Life in an Indian Outpost
37787,W. H. Hudson,Birds and Man
37788,William Black,Judith Shakespeare
3779,Logan Marshall,A History of The Nations and Empires Involved and a Study of the Events Culminating in The Great Conflict
37793,Edmund G. Gardner,The Story of Florence
3780,G. P. R. James,The King's Highway
37800,Lillian Elizabeth Roy,Girl Scouts at Dandelion Camp
37801,Bj?tjerne Bj?on,"The Heritage of the Kurts, Volume I "
37802,Bj?tjerne Bj?on,"The Heritage of the Kurts, Volume II "
37803,St. George Rathborne,Rocky Mountain Boys
37804,Robert Bridges,The Poetical Works of Robert Bridges
37807,Louisa May Alcott,Mountain-Laurel and Maidenhair
37808,Gilbert Murray,Carlyon Sahib
37809,John D. Lynch,A Taxonomic Revision of the Leptodactylid Frog Genus Syrrhophus Cope
3781,Bram Stoker,The Jewel of Seven Stars
37812,E. Alexander Powell,Gentlemen Rovers
37814,Hezekiah Butterworth,The Story of Magellan and The Discovery of the Philippines
37815,James B. Hendryx,Snowdrift
37817,John Thomas Smith,The Cries of London
3782,John Buchan,Huntingtower
37820,Arthur Morrison,Chronicles of Martin Hewitt
37824,Percy F. Westerman,The Wireless Officer
37825,Ada Cambridge,Thirty Years in Australia
37827,Elizabeth Robins,The Open Question
3783,Maksim Gorky,Mother
37838,Oliver Onions,The Story of Louie
37841,Friedrich Wilhelm Nietzsche,"Human, All-Too-Human, Part II"
37843,Francis A. Leyland,"The Bront?amily, Vol. 1 of 2"
37844,Francis A. Leyland,"The Bront?amily, Vol. 2 of 2"
37845,William Butler Yeats,A Book of Irish Verse
37846,Louis Raemaekers,"Raemaekers' Cartoon History of the War, Volume 2"
3785,G. A. Henty,In The Reign Of Terror
37852,Christopher Morley,Chimneysmoke
37857,Harry Castlemon,The Haunted Mine
3786,Henry Kingsley,Recollections of Geoffrey Hamlyn
37860,J. C. Squire,Poems - First Series
37861,J. C. Squire,Poems - Second Series
37862,Elizabeth Miller,Saul of Tarsus
37866,Ada Cambridge,A Humble Enterprise
3787,Elizabeth Inchbald,Nature and Art
37870,Evelyn Underhill,Ruysbroeck
37871,Carroll Watson Rankin,Dandelion Cottage
37877,Walter Crane,Goody Two Shoes
3788,J. Cuthbert Hadden,Haydn
37881,Padraic Colum,Golden Fleece and The Heros Who Lived Before Achilles
37887,Brantz Mayer,"Mexico, Aztec, Spanish and Republican Vol. 1 of 2"
37889,John Lloyd Stephens,"Incidents of Travel in Greece, Turkey, Russia, and Poland, Vol. I (of 2)"
3789,George Bernard Shaw,Preface to Major Barbara
37893,Goldwin Smith,Oxford and Her Colleges
379,Eliot Gregory,Worldly Ways and Byways
3790,George Bernard Shaw,Major Barbara
37907,Oliver Optic,Brave Old Salt
37908,Amelia Alderson Opie,Adeline Mowbray
